# h  nDoF   L2_error   H1_semi_error   H1_error 
1.41421  4  0.182574  0.57735  0.60553
0.707107  9  0.0413394  0.273383  0.276491
0.372678  27  0.0100677  0.13672  0.13709
0.196419  93  0.00212967  0.068873  0.0689059
0.103209  334  0.000533406  0.0335608  0.0335651
0.0481076  1271  0.000150543  0.0172214  0.017222
0.0258357  4982  4.32622e-05  0.00884585  0.00884596
0.0143961  19833  1.28102e-05  0.00461702  0.00461704
